iter	Logloss
0	0.6891440081
1	0.6851722591
2	0.6816352406
3	0.6788307873
4	0.67599487
5	0.6737653202
6	0.6717747336
7	0.6696878637
8	0.6678382044
9	0.6661641878
10	0.664661268
11	0.6636861837
12	0.6626930673
13	0.6614872716
14	0.660400832
15	0.6598768856
16	0.6593399096
17	0.6586907942
18	0.6578288288
19	0.6572579989
20	0.6566706396
21	0.6562185683
22	0.6556958815
23	0.6552628601
24	0.6549575073
25	0.654585035
26	0.6542649395
27	0.6538410197
28	0.653387061
29	0.6531105388
30	0.6527932037
31	0.6525595417
32	0.6522807285
33	0.6520400301
34	0.6518965032
35	0.6517336138
36	0.6514707421
37	0.6513135584
38	0.6510971187
39	0.650872819
40	0.6506859979
41	0.6504986997
42	0.6503207436
43	0.6501539524
44	0.6500054922
45	0.6498757871
46	0.649703689
47	0.6495080239
48	0.6492148421
49	0.6489845683
50	0.6488244561
51	0.6486674089
52	0.6485618237
53	0.6483455666
54	0.6482267945
55	0.6480881016
56	0.6479496493
57	0.6478236794
58	0.64762834
59	0.6475047158
60	0.647298862
61	0.6471513545
62	0.6469975208
63	0.6468877996
64	0.6467533194
65	0.6466282337
66	0.6464718419
67	0.646365025
68	0.6462326824
69	0.6461428425
70	0.6459730563
71	0.6458530171
72	0.6457357412
73	0.6456012677
74	0.6454662902
75	0.6453526005
76	0.6452330366
77	0.6451364108
78	0.6450395396
79	0.6449224997
80	0.6447873399
81	0.6446136315
82	0.64448513
83	0.6443867436
84	0.6442566634
85	0.6441051016
86	0.643971712
87	0.6438417851
88	0.6437319697
89	0.643622841
90	0.6435009462
91	0.6433541775
92	0.6432288322
93	0.6430891176
94	0.6429548098
95	0.6428465873
96	0.6427389137
97	0.6426187466
98	0.6424975078
99	0.6424100745
100	0.6421898845
101	0.6420688084
102	0.6419957241
103	0.6419160741
104	0.6418324492
105	0.641723313
106	0.641615823
107	0.6414696097
108	0.6413636857
109	0.6412270116
110	0.6410361621
111	0.6409505036
112	0.6408283673
113	0.6406405129
114	0.6405324188
115	0.6404479111
116	0.6403375784
117	0.6402315932
118	0.6401210565
119	0.6400067982
120	0.6398925707
121	0.6398233852
122	0.6397166831
123	0.6396047367
124	0.6394989416
125	0.6394299101
126	0.6393446699
127	0.6392451431
128	0.6391244358
129	0.6389806725
130	0.6388866795
131	0.6387874218
132	0.6387042701
133	0.6386146865
134	0.6384775972
135	0.6383983338
136	0.6382872432
137	0.6381864562
138	0.6380732327
139	0.637945524
140	0.6378170072
141	0.637747001
142	0.6376403893
143	0.6375666387
144	0.6374573168
145	0.637363366
146	0.6372978755
147	0.6371586085
148	0.6370966756
149	0.6369697331
150	0.6368913464
151	0.6367772303
152	0.6367015344
153	0.6365618946
154	0.6365101645
155	0.6364001779
156	0.6362847697
157	0.6361664133
158	0.6360573127
159	0.6359878029
160	0.6358824407
161	0.6357575991
162	0.6356784982
163	0.6355805062
164	0.6354342902
165	0.6352908171
166	0.635132865
167	0.6350567624
168	0.6349284367
169	0.6348072835
170	0.634694443
171	0.6346037249
172	0.6345058619
173	0.634431488
174	0.6342869224
175	0.6341933513
176	0.6340735685
177	0.6339584408
178	0.6338803306
179	0.6337602825
180	0.6336694304
181	0.6335673623
182	0.63346751
183	0.6333699871
184	0.6332603821
185	0.6331076963
186	0.6329899988
187	0.6328742993
188	0.6327743429
189	0.6326450092
190	0.6325148172
191	0.6324036352
192	0.6323212786
193	0.632195924
194	0.6320736586
195	0.6319256918
196	0.6318010534
197	0.6316613064
198	0.6315277037
199	0.6313983449
200	0.63126337
201	0.63114716
202	0.6310221311
203	0.6309223709
204	0.6308244008
205	0.6307054378
206	0.630607425
207	0.6304910757
208	0.6303425942
209	0.6302253416
210	0.6301096653
211	0.6299456371
212	0.6298116898
213	0.6296630052
214	0.6295755464
215	0.6294288522
216	0.6293199673
217	0.6292045402
218	0.6290983851
219	0.6289226723
220	0.6287827679
221	0.6286201114
222	0.6284925952
223	0.6283702129
224	0.6282030918
225	0.6280617601
226	0.6279239366
227	0.6277823992
228	0.6275915861
229	0.627509886
230	0.6273897178
231	0.6272613818
232	0.6271002899
233	0.626989261
234	0.6268489736
235	0.6267071732
236	0.6266066693
237	0.6264290633
238	0.6262896301
239	0.6261525277
240	0.6259839819
241	0.6258459722
242	0.6257146287
243	0.6255328871
244	0.6253530145
245	0.6252506525
246	0.6250665925
247	0.6248964055
248	0.6247637171
249	0.6246315963
250	0.6244602729
251	0.6243011024
252	0.6241390632
253	0.6240229634
254	0.6238797431
255	0.6237323524
256	0.6235771742
257	0.623420166
258	0.6232748335
259	0.6230765846
260	0.6229412883
261	0.6227633128
262	0.6226316191
263	0.6224727906
264	0.622325975
265	0.6221729859
266	0.6219978693
267	0.6218552598
268	0.6217361728
269	0.621600925
270	0.621471573
271	0.6213184515
272	0.6212054053
273	0.621043318
274	0.6208884723
275	0.6207230549
276	0.620523064
277	0.6203911811
278	0.6202116981
279	0.6200433867
280	0.6199517696
281	0.6197917781
282	0.6196635722
283	0.619502965
284	0.6194406525
285	0.6193062558
286	0.6191641547
287	0.6190100272
288	0.6188335349
289	0.6186886095
290	0.6185985813
291	0.6184176423
292	0.6183014551
293	0.618184274
294	0.6180422039
295	0.6178991099
296	0.6177928091
297	0.617644222
298	0.6174973255
299	0.6173779479
300	0.6172377036
301	0.6170852916
302	0.616958685
303	0.6168063175
304	0.6166532573
305	0.616514123
306	0.6163726065
307	0.6162219091
308	0.6160917329
309	0.6159527043
310	0.6157873975
311	0.6156534874
312	0.6155332368
313	0.6154011134
314	0.6152901301
315	0.6151456349
316	0.6150096524
317	0.6148767238
318	0.6147336526
319	0.6145999924
320	0.6144697817
321	0.6143617939
322	0.614216501
323	0.6140759264
324	0.6139453184
325	0.6138105131
326	0.6136783357
327	0.613512282
328	0.6133688434
329	0.6132030599
330	0.6130612492
331	0.6128988588
332	0.6127454381
333	0.6126051577
334	0.6124667813
335	0.6123305375
336	0.6121932705
337	0.6119806971
338	0.6118743105
339	0.6117466092
340	0.611631568
341	0.6114902531
342	0.6113653202
343	0.611212779
344	0.6110824145
345	0.6109537446
346	0.6109314753
347	0.6108228792
348	0.610678289
349	0.6105433249
350	0.610389501
351	0.6102827495
352	0.6101816474
353	0.6100386893
354	0.6099355778
355	0.6098287856
356	0.6096886665
357	0.609620834
358	0.6094955855
359	0.6093817796
360	0.6092737227
361	0.6092021717
362	0.6091092485
363	0.6089518469
364	0.6088222181
365	0.6086699703
366	0.6085508144
367	0.6084033239
368	0.6082767129
369	0.6081776123
370	0.6080408587
371	0.6079596473
372	0.6078471489
373	0.6077086699
374	0.607581022
375	0.6074691759
376	0.6073234395
377	0.6071880686
378	0.6071059933
379	0.6069506554
380	0.6068514239
381	0.6067216491
382	0.6066201764
383	0.6065063235
384	0.6063693711
385	0.6063032884
386	0.6061780716
387	0.6060656041
388	0.6059778814
389	0.6058878672
390	0.6057584955
391	0.6056427492
392	0.6054833734
393	0.6053247215
394	0.6052315994
395	0.6050776216
396	0.6049417712
397	0.604847761
398	0.6047221444
399	0.6045808378
400	0.6044091356
401	0.6043074587
402	0.6041708193
403	0.6040369428
404	0.6038964825
405	0.603803326
406	0.603683099
407	0.603564281
408	0.6034151491
409	0.6032762998
410	0.6031748192
411	0.6030386793
412	0.6028823212
413	0.6027512054
414	0.6026263473
415	0.6025186569
416	0.6023723912
417	0.6022676897
418	0.6021441577
419	0.6019882682
420	0.6018292292
421	0.6017318892
422	0.60157663
423	0.6014575861
424	0.6013272886
425	0.6012326086
426	0.6010900883
427	0.6009972178
428	0.6008677925
429	0.6007333887
430	0.6005959194
431	0.6004916202
432	0.600365997
433	0.6002134469
434	0.6001076663
435	0.59999072
436	0.5999569757
437	0.5998264285
438	0.5997619668
439	0.5996170794
440	0.5994968341
441	0.5993659876
442	0.5992318155
443	0.5991256362
444	0.5989951561
445	0.5988908651
446	0.5987592527
447	0.5986172424
448	0.5984847048
449	0.5983832025
450	0.5982777759
451	0.5981379214
452	0.59798426
453	0.5978613454
454	0.5977384407
455	0.5976135671
456	0.5974939135
457	0.5973827014
458	0.5972659538
459	0.5971584256
460	0.5970336222
461	0.5969165397
462	0.5968049816
463	0.5966584432
464	0.5965460347
465	0.5964061731
466	0.5963092095
467	0.5961828285
468	0.5960347633
469	0.5959550005
470	0.5958385271
471	0.5957671657
472	0.5956567383
473	0.5955353366
474	0.5954060207
475	0.5952502266
476	0.5951087618
477	0.5950078853
478	0.5948409133
479	0.5947239103
480	0.5945298511
481	0.5944115058
482	0.5942896343
483	0.5941674697
484	0.5940443756
485	0.5938951585
486	0.5937935456
487	0.5936852669
488	0.5936051792
489	0.593488413
490	0.593384274
491	0.5932555154
492	0.593099125
493	0.5929469275
494	0.5928169587
495	0.5926612019
496	0.592522556
497	0.5924208763
498	0.592314168
499	0.5921585745
500	0.5920368526
501	0.5919040492
502	0.5917903909
503	0.5916974314
504	0.5915735958
505	0.5914322155
506	0.5912971675
507	0.5911861036
508	0.591074391
509	0.5909575544
510	0.5908371466
511	0.5907202991
512	0.5905834193
513	0.5904622955
514	0.5903046829
515	0.5901905148
516	0.5900771665
517	0.5899690241
518	0.5898480511
519	0.5897290389
520	0.5895947096
521	0.5895001747
522	0.5893455841
523	0.5893099502
524	0.5891652698
525	0.5890503182
526	0.5889386647
527	0.588803902
528	0.588729521
529	0.5885971923
530	0.5884993176
531	0.588380121
532	0.5882294353
533	0.5881461888
534	0.588053479
535	0.5879189645
536	0.5877943045
537	0.5876402426
538	0.5875271028
539	0.5874554932
540	0.5873006046
541	0.5871945416
542	0.5871009412
543	0.5869764437
544	0.586861893
545	0.5867482746
546	0.5866533816
547	0.5865481055
548	0.5864289435
549	0.5863287869
550	0.5862165218
551	0.5860908245
552	0.5859894851
553	0.5858567134
554	0.5857137693
555	0.5856334393
556	0.5855120032
557	0.5853933019
558	0.5852445832
559	0.5851210626
560	0.5850486154
561	0.5849039698
562	0.5847896335
563	0.5847023707
564	0.5846222564
565	0.5845336068
566	0.5844615814
567	0.5843412148
