iter	Passed	Remaining
0	33	19184
1	58	16590
2	85	16159
3	111	15707
4	139	15747
5	169	15861
6	198	15906
7	228	15970
8	257	15982
9	287	16067
10	317	16067
11	346	16066
12	376	16061
13	405	16043
14	443	16342
15	476	16452
16	510	16537
17	543	16611
18	577	16694
19	614	16846
20	650	16942
21	690	17135
22	738	17504
23	781	17720
24	824	17910
25	867	18081
26	909	18227
27	952	18365
28	996	18525
29	1040	18656
30	1080	18716
31	1116	18701
32	1154	18712
33	1190	18703
34	1227	18699
35	1263	18674
36	1301	18680
37	1337	18658
38	1374	18642
39	1410	18621
40	1446	18590
41	1484	18595
42	1524	18618
43	1562	18609
44	1599	18587
45	1636	18568
46	1672	18545
47	1710	18525
48	1748	18524
49	1786	18510
50	1823	18480
51	1859	18454
52	1895	18420
53	1927	18349
54	1961	18294
55	2000	18293
56	2039	18287
57	2076	18258
58	2112	18228
59	2147	18177
60	2178	18106
61	2209	18034
62	2241	17968
63	2273	17900
64	2305	17842
65	2337	17779
66	2370	17729
67	2403	17672
68	2434	17606
69	2468	17558
70	2500	17505
71	2536	17473
72	2569	17425
73	2603	17381
74	2635	17324
75	2665	17253
76	2697	17203
77	2732	17163
78	2776	17186
79	2819	17200
80	2861	17206
81	2901	17199
82	2935	17154
83	2969	17112
84	3007	17090
85	3044	17062
86	3076	17009
87	3109	16962
88	3141	16907
89	3175	16865
90	3209	16822
91	3242	16773
92	3276	16732
93	3309	16686
94	3343	16647
95	3375	16595
96	3407	16545
97	3439	16493
98	3472	16449
99	3504	16399
100	3538	16363
101	3571	16315
102	3601	16257
103	3632	16206
104	3667	16172
105	3701	16131
106	3733	16083
107	3765	16036
108	3798	15996
109	3832	15956
110	3865	15915
111	3896	15865
112	3928	15817
113	3963	15784
114	4005	15777
115	4037	15731
116	4068	15683
117	4099	15634
118	4131	15587
119	4163	15542
120	4193	15492
121	4224	15444
122	4256	15400
123	4288	15356
124	4318	15306
125	4349	15257
126	4381	15213
127	4415	15178
128	4446	15133
129	4480	15097
130	4513	15057
131	4548	15025
132	4581	14986
133	4614	14945
134	4646	14904
135	4677	14857
136	4711	14822
137	4742	14777
138	4773	14731
139	4805	14690
140	4840	14658
141	4872	14617
142	4906	14581
143	4937	14537
144	4971	14501
145	5013	14491
146	5051	14467
147	5089	14443
148	5126	14415
149	5163	14388
150	5196	14351
151	5230	14314
152	5262	14274
153	5295	14236
154	5327	14195
155	5359	14154
156	5391	14115
157	5425	14079
158	5460	14047
159	5495	14013
160	5527	13972
161	5556	13926
162	5586	13881
163	5617	13839
164	5651	13804
165	5685	13769
166	5724	13746
167	5760	13715
168	5794	13680
169	5828	13645
170	5861	13608
171	5897	13579
172	5933	13546
173	5964	13506
174	6002	13480
175	6039	13451
176	6072	13413
177	6106	13378
178	6138	13340
179	6170	13300
180	6202	13261
181	6234	13222
182	6266	13182
183	6300	13149
184	6335	13115
185	6367	13077
186	6400	13040
187	6432	13002
188	6463	12961
189	6497	12925
190	6530	12889
191	6561	12849
192	6593	12810
193	6625	12773
194	6656	12733
195	6689	12695
196	6720	12656
197	6751	12615
198	6782	12577
199	6815	12539
200	6846	12500
201	6877	12460
202	6910	12426
203	6944	12390
204	6982	12364
205	7018	12333
206	7049	12294
207	7081	12256
208	7111	12215
209	7142	12176
210	7173	12137
211	7205	12099
212	7239	12066
213	7275	12035
214	7307	11998
215	7341	11963
216	7372	11925
217	7406	11890
218	7439	11855
219	7473	11821
220	7507	11787
221	7540	11752
222	7574	11718
223	7608	11684
224	7640	11647
225	7673	11612
226	7707	11578
227	7741	11543
228	7774	11508
229	7806	11472
230	7841	11440
231	7878	11409
232	7914	11379
233	7948	11345
234	7987	11318
235	8024	11288
236	8059	11256
237	8096	11225
238	8133	11196
239	8169	11165
240	8204	11131
241	8238	11097
242	8272	11064
243	8306	11030
244	8339	10994
245	8370	10956
246	8401	10918
247	8434	10883
248	8466	10846
249	8499	10811
250	8534	10778
251	8569	10745
252	8603	10712
253	8637	10678
254	8672	10645
255	8705	10610
256	8739	10575
257	8772	10540
258	8804	10503
259	8837	10468
260	8868	10431
261	8903	10398
262	8938	10366
263	8977	10337
264	9014	10307
265	9049	10274
266	9082	10239
267	9116	10205
268	9149	10169
269	9181	10133
270	9213	10097
271	9247	10063
272	9278	10026
273	9310	9990
274	9344	9956
275	9380	9924
276	9417	9893
277	9454	9863
278	9493	9833
279	9530	9802
280	9563	9768
281	9597	9733
282	9630	9698
283	9665	9665
284	9698	9630
285	9733	9596
286	9766	9562
287	9801	9529
288	9834	9494
289	9869	9460
290	9902	9425
291	9934	9390
292	9973	9360
293	10013	9332
294	10052	9302
295	10088	9270
296	10124	9237
297	10157	9202
298	10189	9167
299	10220	9130
300	10252	9094
301	10285	9059
302	10319	9025
303	10351	8989
304	10383	8953
305	10418	8920
306	10451	8885
307	10487	8853
308	10525	8821
309	10559	8788
310	10592	8753
311	10625	8718
312	10658	8683
313	10691	8648
314	10725	8614
315	10759	8580
316	10791	8545
317	10825	8510
318	10858	8476
319	10891	8440
320	10924	8406
321	10962	8375
322	11002	8345
323	11037	8311
324	11070	8277
325	11101	8241
326	11132	8204
327	11164	8168
328	11196	8133
329	11227	8097
330	11258	8061
331	11296	8030
332	11334	7998
333	11367	7964
334	11399	7928
335	11432	7893
336	11466	7859
337	11499	7825
338	11532	7790
339	11566	7756
340	11599	7721
341	11629	7685
342	11662	7650
343	11692	7613
344	11723	7577
345	11755	7542
346	11783	7505
347	11814	7468
348	11845	7433
349	11878	7398
350	11912	7364
351	11944	7329
352	11983	7298
353	12014	7262
354	12044	7226
355	12074	7190
356	12105	7154
357	12135	7118
358	12166	7082
359	12195	7046
360	12225	7010
361	12256	6974
362	12289	6940
363	12322	6905
364	12353	6870
365	12385	6835
366	12417	6801
367	12450	6766
368	12481	6731
369	12512	6695
370	12545	6661
371	12577	6626
372	12610	6592
373	12642	6557
374	12677	6524
375	12714	6492
376	12746	6457
377	12777	6422
378	12807	6387
379	12838	6351
380	12867	6315
381	12900	6281
382	12931	6246
383	12970	6215
384	13007	6182
385	13043	6150
386	13080	6117
387	13116	6085
388	13148	6050
389	13181	6016
390	13211	5980
391	13242	5945
392	13272	5910
393	13304	5875
394	13337	5841
395	13371	5807
396	13404	5773
397	13434	5738
398	13465	5703
399	13498	5669
400	13531	5635
401	13562	5600
402	13595	5566
403	13628	5532
404	13660	5497
405	13689	5462
406	13722	5428
407	13755	5394
408	13787	5359
409	13819	5325
410	13850	5290
411	13882	5256
412	13914	5222
413	13945	5187
414	13986	5156
415	14022	5123
416	14058	5090
417	14093	5057
418	14125	5023
419	14157	4988
420	14189	4954
421	14221	4920
422	14254	4886
423	14286	4852
424	14320	4818
425	14351	4783
426	14381	4748
427	14412	4714
428	14445	4680
429	14476	4645
430	14507	4611
431	14538	4577
432	14570	4542
433	14604	4509
434	14636	4474
435	14666	4440
436	14696	4405
437	14729	4371
438	14758	4336
439	14790	4302
440	14822	4268
441	14856	4235
442	14889	4201
443	14921	4167
444	14954	4133
445	14990	4100
446	15022	4066
447	15054	4032
448	15087	3998
449	15118	3964
450	15149	3930
451	15180	3895
452	15213	3862
453	15245	3828
454	15277	3794
455	15309	3760
456	15341	3726
457	15373	3692
458	15407	3658
459	15439	3624
460	15469	3590
461	15501	3556
462	15534	3522
463	15565	3488
464	15600	3455
465	15635	3422
466	15666	3388
467	15697	3354
468	15729	3320
469	15759	3285
470	15793	3252
471	15824	3218
472	15856	3184
473	15886	3150
474	15918	3116
475	15957	3084
476	15995	3051
477	16034	3019
478	16074	2986
479	16109	2953
480	16142	2919
481	16174	2885
482	16207	2852
483	16239	2818
484	16273	2784
485	16310	2751
486	16342	2718
487	16374	2684
488	16406	2650
489	16438	2616
490	16470	2582
491	16501	2549
492	16532	2515
493	16565	2481
494	16599	2448
495	16633	2414
496	16668	2381
497	16700	2347
498	16734	2314
499	16771	2280
500	16806	2247
501	16838	2213
502	16868	2179
503	16899	2145
504	16933	2112
505	16971	2079
506	17005	2046
507	17036	2012
508	17068	1978
509	17101	1944
510	17134	1911
511	17167	1877
512	17199	1843
513	17230	1810
514	17260	1776
515	17291	1742
516	17322	1708
517	17354	1675
518	17386	1641
519	17420	1608
520	17451	1574
521	17483	1540
522	17515	1507
523	17545	1473
524	17577	1439
525	17607	1405
526	17638	1372
527	17673	1338
528	17705	1305
529	17737	1271
530	17769	1238
531	17801	1204
532	17833	1171
533	17865	1137
534	17898	1103
535	17931	1070
536	17968	1037
537	17999	1003
538	18030	970
539	18061	936
540	18091	902
541	18123	869
542	18153	835
543	18184	802
544	18216	768
545	18246	735
546	18278	701
547	18309	668
548	18342	634
549	18372	601
550	18404	567
551	18435	534
552	18467	500
553	18498	467
554	18529	434
555	18560	400
556	18590	367
557	18622	333
558	18654	300
559	18687	266
560	18718	233
561	18751	200
562	18783	166
563	18815	133
564	18847	100
565	18879	66
566	18909	33
567	18947	0
