model,split,metric,value
baseline_logreg,train,accuracy,0.5386666666666666
baseline_logreg,train,f1,0.6637600462257709
baseline_logreg,train,precision,0.5430867752610994
baseline_logreg,train,recall,0.8533801580333626
baseline_logreg,train,roc_auc,0.538899319901176
baseline_logreg,train,pr_auc,0.572838619952077
baseline_logreg,train,precision_at_top10,0.618018018018018
baseline_logreg,val,accuracy,0.5438950554994955
baseline_logreg,val,f1,0.665680473372781
baseline_logreg,val,precision,0.5466693662684754
baseline_logreg,val,recall,0.8509297195083517
baseline_logreg,val,roc_auc,0.5469082523168972
baseline_logreg,val,pr_auc,0.5795404729728103
baseline_logreg,val,precision_at_top10,0.6414141414141414
baseline_logreg,test,accuracy,0.5384227341516731
baseline_logreg,test,f1,0.6614872364039955
baseline_logreg,test,precision,0.543354943273906
baseline_logreg,test,recall,0.8452568547116294
baseline_logreg,test,roc_auc,0.532593750759779
baseline_logreg,test,pr_auc,0.5634751671191304
baseline_logreg,test,precision_at_top10,0.6060606060606061
