feature,importances_mean,importances_std
data_channel_is_world,0.0690986618635487,0.0036810091994930972
data_channel_is_entertainment,0.0461270144812961,0.002624060292129586
is_weekend,0.02478760284582011,0.0018933488860042814
data_channel_is_bus,0.006728437709582846,0.0013725981081276672
data_channel_is_socmed,0.006047873505366552,0.0011826916913558099
title_sentiment_polarity,0.00579590529495796,0.001058066145414197
weekday_is_saturday,0.003160445105196441,0.0005174478475232049
title_subjectivity,0.0026379264550595583,0.0008120870740262929
abs_title_subjectivity,0.0020263040264111077,0.0012719039395813058
weekday_is_friday,0.001076473658865984,0.0005777095286954852
tfidf_char_svd_20,0.0007683837063285126,0.00020328259431393142
n_tokens_title,0.0006235446051356064,0.00029567234317140375
data_channel_is_tech,0.0004886728526358631,0.00037696183291034983
weekday_is_sunday,0.0004115594422785529,0.0002195716022420923
tfidf_char_svd_58,0.00036437080855658,0.0004021635043172577
tfidf_char_svd_43,0.0003325252999609507,0.00017274219499163632
tfidf_char_svd_51,0.00028496161206922335,0.00022005812508678167
tfidf_char_svd_44,0.00028431379123056155,0.00019143560960220885
tfidf_word_svd_25,0.0002790175717425125,0.0004236084017420371
weekday_is_wednesday,0.0002663111910822913,0.0001951579634472984
tfidf_word_svd_24,0.00024933146594239284,0.0003569889856349391
tfidf_char_svd_14,0.0002393186561377325,0.0005348544663279284
tfidf_word_svd_9,0.0002097007420049035,8.6892695883525e-05
tfidf_char_svd_31,0.00019940380025338378,0.0002129018601800882
abs_title_sentiment_polarity,0.00018729977932039344,0.0005283737190848879
tfidf_word_svd_20,0.00017812800007823703,0.00016028608204836153
tf_vader_neu,0.0001711042583536826,0.00013162092188283276
tfidf_word_svd_17,0.00015869337491811742,0.00015970475402719313
weekday_is_tuesday,0.00013838362336197064,0.00022927205332163604
tfidf_char_svd_36,0.00013466717749802682,0.00020487598192390566
tfidf_char_svd_34,0.0001346217163865515,7.636408349299995e-05
tfidf_word_svd_13,0.00012817760383350142,0.000126070891783461
tfidf_word_svd_31,0.00012677967465529738,0.00013076410086260322
tfidf_char_svd_29,0.00012374514546363845,0.00020041786222474588
tfidf_word_svd_12,0.00011916493848148634,0.00017589369221144096
tf_vader_pos,0.00011599402595533493,0.00017654051042215857
tfidf_char_svd_5,9.462730355717098e-05,0.00020931398777592424
tfidf_char_svd_15,7.904550759547657e-05,0.0003641946617787352
tfidf_char_svd_35,7.095342975106389e-05,0.00020985234538321818
tfidf_char_svd_13,6.397514913807356e-05,0.00031019060092547877
tf_vader_compound,5.6690006022486195e-05,0.00021353098945833877
tfidf_char_svd_1,4.198333645691887e-05,0.00022883920360159264
tfidf_char_svd_22,3.846010031675062e-05,0.0001923613499300149
tf_title_word_len,3.833508226022131e-05,9.491138106602396e-05
tfidf_char_svd_46,3.550512807023454e-05,0.0003086929363688893
tfidf_char_svd_10,3.516416973406988e-05,0.00012385174819050745
tf_digit_ratio,2.283284324361423e-05,0.00016491667863608952
tf_clickbait_word_count,1.7991234870418095e-05,2.863563124366018e-05
tfidf_char_svd_28,1.225176954536833e-05,3.780334026408822e-05
weekday_is_monday,4.864338928978196e-06,2.3970004223025442e-05
tfidf_word_svd_7,4.796147261709738e-06,0.00043883181346706545
tfidf_word_svd_2,3.5573319737580713e-06,0.0002542696753039841
tf_surprise_count,3.3527569720637194e-06,1.0939190651385587e-05
tfidf_char_svd_3,2.875415301484274e-06,0.00021323992807171526
tf_clickbait_phrase_count,0.0,0.0
tf_has_exclamation,0.0,0.0
tf_automated_readability_index,0.0,0.0
tf_smog_index,0.0,0.0
tf_gunning_fog,0.0,0.0
tf_punct_ratio,0.0,0.0
tf_flesch_reading_ease,0.0,0.0
tf_positive_count,0.0,0.0
tf_has_question,0.0,0.0
tf_all_caps_ratio,0.0,0.0
tf_vader_neg,-6.364555607873968e-07,8.143446755889588e-05
tf_verb_ratio,-3.636888918834291e-06,4.860354138679458e-05
tfidf_char_svd_42,-7.387430616390134e-06,0.00016550490543091478
tfidf_char_svd_50,-8.86491673967038e-06,0.00010971975920208668
data_channel_is_lifestyle,-1.712747375216539e-05,1.1220246463477969e-05
tf_capitalized_ratio,-2.2423693240203325e-05,1.1867445521852595e-05
tfidf_word_svd_4,-2.510589881786762e-05,0.00023688199897362722
tfidf_word_svd_10,-2.7606259949575218e-05,0.00012608706525650846
tfidf_word_svd_23,-3.707353641645428e-05,0.00016143239088219928
tf_has_number,-3.822142948144425e-05,9.283567761258598e-06
weekday_is_thursday,-4.00171433851404e-05,2.671166487513928e-05
tfidf_char_svd_6,-4.3278978134264626e-05,0.00011784851451862101
tfidf_word_svd_15,-4.405181702945571e-05,0.0001689627450798348
tfidf_char_svd_12,-4.4949673981298234e-05,0.000109570005663452
tf_negative_count,-4.7074980943262454e-05,9.187628771514165e-05
tfidf_char_svd_27,-6.061102688809106e-05,0.0003829566091777078
tfidf_char_svd_16,-6.12702130046161e-05,0.00018506292748023164
tfidf_word_svd_22,-7.309010199085808e-05,0.00011512735279844638
tfidf_word_svd_1,-0.0001050151675315858,8.7440624965792e-05
tf_textblob_subjectivity,-0.00010654948004419351,0.00010512872508764941
tfidf_word_svd_28,-0.00011206163981184459,0.00010298711622224738
tfidf_word_svd_0,-0.00011222075370201923,0.0003264054428574347
tfidf_word_svd_26,-0.00011634634956936285,0.00028396158497657245
tfidf_char_svd_61,-0.0001253135538098693,0.00023296750065922796
tfidf_char_svd_60,-0.00013156445663911053,0.0002533981576905944
tfidf_char_svd_23,-0.00013225773858928093,0.00021751468490725358
tfidf_word_svd_14,-0.00013270098442627054,0.00019490886392017925
tfidf_char_svd_11,-0.0001430661178449699,0.00022906327642141486
tfidf_char_svd_38,-0.0001577841526884005,0.0001340117216005822
tf_adj_ratio,-0.0001602504179865183,0.0004527851020389587
tfidf_char_svd_7,-0.00016766057915863498,0.00016628952662428546
tfidf_char_svd_59,-0.00016794471110539443,0.0003722545474170453
tf_textblob_polarity,-0.00016842205277599608,0.0002121512522195061
tfidf_char_svd_25,-0.0001690130472253082,0.00021113479815954136
tfidf_char_svd_37,-0.00017025186251330427,0.0001707874717422144
tfidf_char_svd_63,-0.00017153613891277564,0.0003384154729569778
tfidf_word_svd_30,-0.00017426380560190414,0.00012337869531015258
tfidf_char_svd_48,-0.00017465022504952187,0.00011241723817766195
tfidf_word_svd_8,-0.00018439026818529715,0.00028087562951949614
tfidf_word_svd_6,-0.00020000615998055915,0.00024788889765520606
tfidf_char_svd_8,-0.00020247242527867692,0.00027082625982365516
tfidf_char_svd_57,-0.00020388171973475532,0.0003972877603739624
tfidf_char_svd_26,-0.0002096666461713026,0.00014242987631255528
tfidf_word_svd_5,-0.00021343991842456277,0.00014286567478988951
tfidf_char_svd_55,-0.00022005451014570632,0.00032024735774889096
tfidf_char_svd_54,-0.00022674865881197048,0.0001911141036553639
tfidf_word_svd_21,-0.0002453308881316896,0.0003232331030892402
tfidf_char_svd_62,-0.0002621174035477347,0.0005226346058714521
tf_noun_ratio,-0.00027908576340966994,0.00016163331382204314
tfidf_char_svd_32,-0.0002815974898192408,0.00020548189207072356
tfidf_char_svd_49,-0.0002973156691153722,0.0002664551427582217
tfidf_char_svd_40,-0.00029961145524540764,0.00011006212548899047
tfidf_char_svd_41,-0.0003024982358247441,0.0001569521847042695
tfidf_word_svd_3,-0.00030255506221408266,0.0003752557199592961
tfidf_char_svd_4,-0.00030382797333570186,0.000232790623148675
tfidf_char_svd_56,-0.00030419166222754867,0.0001611275389256291
tfidf_char_svd_30,-0.00030837408448423085,6.946792258425082e-05
tfidf_char_svd_39,-0.0003170344262222069,0.0002545647813178629
tfidf_word_svd_27,-0.0003183187026217227,0.00020519346688903264
tfidf_char_svd_52,-0.00032090998597633646,0.0005023460641130533
tfidf_char_svd_45,-0.0003498800792705481,0.00019119673738241644
tfidf_char_svd_17,-0.00035208494317756633,0.00016153004841296093
tf_stopwords_ratio,-0.00035969967935138846,0.0002368005785384698
tfidf_char_svd_47,-0.0003693942613756995,0.0005841120223268651
tfidf_char_svd_2,-0.00037046259749561327,0.0003989434722707282
tf_title_char_len,-0.00037719084199545617,0.00030934953484879323
tfidf_char_svd_19,-0.0003924544101767347,0.00020533118481584007
tfidf_char_svd_24,-0.0003988303310625718,0.0003251742840266179
tfidf_char_svd_53,-0.0004200493048484577,0.0002539072999435287
tfidf_word_svd_11,-0.0004234588882098822,0.0003874778985892697
tfidf_char_svd_0,-0.0004487011703622201,0.00034989790201629087
tfidf_char_svd_21,-0.00045999825656638514,0.000278565720554148
tfidf_word_svd_18,-0.00046917003580857484,0.0001652504011925565
tfidf_word_svd_19,-0.0004991743693890216,0.00020425688299141972
tfidf_char_svd_33,-0.0005130741042257303,0.00033199625656639816
tf_avg_word_len,-0.0005244166515413595,0.00039827368655447206
tfidf_word_svd_16,-0.000557080460143733,0.00029628153411561113
tfidf_word_svd_29,-0.00058627785899531,0.0002829344609946732
tfidf_char_svd_18,-0.0007781464800199811,0.00041803149198153615
tfidf_char_svd_9,-0.0008798202558573665,0.00036347872997152347
